路径,Handler,当前方法,推荐方法,代码行
/get_oauth_status,Unknown,POST,GET,"_plugin_api.POST("/get_oauth_status", append(_getoauthstatusMw(), coze.GetOAuthStatus)...)"
/get_playground_plugin_list,Unknown,POST,GET,"_plugin_api.POST("/get_playground_plugin_list", append(_getplaygroundpluginlistMw(), coze.GetPlaygroundPluginList)...)"
/get_plugin_apis,Unknown,POST,GET,"_plugin_api.POST("/get_plugin_apis", append(_getpluginapisMw(), coze.GetPluginAPIs)...)"
/get_plugin_info,Unknown,POST,GET,"_plugin_api.POST("/get_plugin_info", append(_getplugininfoMw(), coze.GetPluginInfo)...)"
/get_plugin_next_version,Unknown,POST,GET,"_plugin_api.POST("/get_plugin_next_version", append(_getpluginnextversionMw(), coze.GetPluginNextVersion)...)"
/get_queried_oauth_plugins,Unknown,POST,GET,"_plugin_api.POST("/get_queried_oauth_plugins", append(_getqueriedoauthpluginlistMw(), coze.GetQueriedOAuthPluginList)...)"
/get_updated_apis,Unknown,POST,GET,"_plugin_api.POST("/get_updated_apis", append(_getupdatedapisMw(), coze.GetUpdatedAPIs)...)"
/get_user_authority,Unknown,POST,GET,"_plugin_api.POST("/get_user_authority", append(_getuserauthorityMw(), coze.GetUserAuthority)...)"
/library_resource_list,Unknown,POST,GET,"_plugin_api.POST("/library_resource_list", append(_libraryresourcelistMw(), coze.LibraryResourceList)...)"
/project_resource_list,Unknown,POST,GET,"_plugin_api.POST("/project_resource_list", append(_projectresourcelistMw(), coze.ProjectResourceList)...)"
/resource_copy_detail,Unknown,POST,GET,"_plugin_api.POST("/resource_copy_detail", append(_resourcecopydetailMw(), coze.ResourceCopyDetail)...)"
/example_workflow_list,Unknown,POST,GET,"_workflow_api.POST("/example_workflow_list", append(_getexampleworkflowlistMw(), coze.GetExampleWorkFlowList)...)"
/get_trace,Unknown,POST,GET,"_workflow_api.POST("/get_trace", append(_gettracesdkMw(), coze.GetTraceSDK)...)"
/list_publish_workflow,Unknown,POST,GET,"_workflow_api.POST("/list_publish_workflow", append(_listpublishworkflowMw(), coze.ListPublishWorkflow)...)"
/list_spans,Unknown,POST,GET,"_workflow_api.POST("/list_spans", append(_listrootspansMw(), coze.ListRootSpans)...)"
/llm_fc_setting_detail,Unknown,POST,GET,"_workflow_api.POST("/llm_fc_setting_detail", append(_getllmnodefcsettingdetailMw(), coze.GetLLMNodeFCSettingDetail)...)"
/node_panel_search,Unknown,POST,GET,"_workflow_api.POST("/node_panel_search", append(_nodepanelsearchMw(), coze.NodePanelSearch)...)"
/node_template_list,Unknown,POST,GET,"_workflow_api.POST("/node_template_list", append(_nodetemplatelistMw(), coze.NodeTemplateList)...)"
/workflow_detail,Unknown,POST,GET,"_workflow_api.POST("/workflow_detail", append(_getworkflowdetailMw(), coze.GetWorkflowDetail)...)"
/workflow_detail_info,Unknown,POST,GET,"_workflow_api.POST("/workflow_detail_info", append(_getworkflowdetailinfoMw(), coze.GetWorkflowDetailInfo)...)"
/workflow_list,Unknown,POST,GET,"_workflow_api.POST("/workflow_list", append(_getworkflowlistMw(), coze.GetWorkFlowList)...)"
/list,Unknown,POST,GET,"_message.POST("/list", append(_getapimessagelistMw(), coze.GetApiMessageList)...)"
